regime,price_change,avg_revenue
volatile,-0.1,5426.152155369968
volatile,-0.05,5698.850417131193
volatile,0.0,5968.521875128279
volatile,0.05,6235.166529361224
volatile,0.1,6498.784379830031
decline,-0.1,3642.233363896761
decline,-0.05,3831.7584071046126
decline,0.0,4019.9338445454714
decline,0.05,4206.759676219341
decline,0.1,4392.23590212622
stable,-0.1,5183.691809378858
stable,-0.05,5461.662704611167
stable,0.0,5738.579706889108
stable,0.05,6014.442816212678
stable,0.1,6289.252032581879
growth,-0.1,7715.534292514136
growth,-0.05,8127.316414168704
growth,0.0,8537.323938731271
growth,0.05,8945.556866201843
growth,0.1,9352.01519658041
